"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\dashboard.css", "PostCSS", 0, 199, 0, 0, 23, 222
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\estilos-estadisticas.css", "PostCSS", 0, 67, 0, 4, 11, 82
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\estilos-historia-clinica.css", "PostCSS", 0, 26, 0, 0, 6, 32
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\estilos.css", "PostCSS", 0, 352, 0, 16, 88, 456
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\login.css", "PostCSS", 0, 64, 0, 0, 8, 72
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\registro-pacientes.css", "PostCSS", 0, 94, 0, 0, 2, 96
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\seccion-prueba.css", "PostCSS", 0, 331, 0, 16, 84, 431
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\CSS\segui-control-pacientes.css", "PostCSS", 0, 75, 0, 0, 11, 86
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\index.html", "HTML", 198, 0, 0, 1, 4, 203
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\js\login.js", "JavaScript", 0, 0, 21, 0, 3, 24
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\login.html", "HTML", 28, 0, 0, 0, 0, 28
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\pages\dashboard.html", "HTML", 41, 0, 0, 0, 0, 41
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\pages\historia-clinica.html", "HTML", 41, 0, 0, 0, 3, 44
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\pages\registro-pacientes.html", "HTML", 95, 0, 0, 0, 4, 99
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\pages\seccion-estadisticas.html", "HTML", 95, 0, 0, 1, 2, 98
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\pages\seccion-prueba.html", "HTML", 169, 0, 0, 1, 1, 171
"c:\Users\DevJhoan\Documents\Code_2024\Universidad\Proyecto-U-Veterinaria\pages\segui-control-pacientes.html", "HTML", 109, 0, 0, 5, 16, 130
"Total", "-", 776, 1208, 21, 44, 266, 2315
